quint,worried,unhealthy,low_diversity,skip_meal,eat_less,ran_out,went_hungry,whole_day,quintile_label
1,0.45566472691624665,0.3251836642379422,0.39847548258806137,0.1710451814553776,0.2641702809699801,0.19512584063439858,0.13756494329503985,0.05612677224859178,Poorest
2,0.3793452623929767,0.2299834646492328,0.3176829476518966,0.09978737275705207,0.17267794421538094,0.13039671483617193,0.07440090217715674,0.024152084956400737,2
3,0.30309661128329185,0.1607098323259963,0.23413740507176184,0.06100397666504759,0.10522360974179888,0.07996220820802807,0.0407855644116413,0.009017716418804559,3
4,0.2336977334413058,0.1189827567931202,0.17389660070983337,0.04150355959511685,0.08231619529641643,0.05117582777559682,0.02375137758539714,0.008154462570471832,4
5,0.16595543179384584,0.06598740714929274,0.09946287411065746,0.02144826348039568,0.04632463533073578,0.02935698478094731,0.016909443628490506,0.006924063180925999,Richest
