month,disruption_pct,worry_days,no_washing_days,schedule_change_days,no_handwashing_days,not_enough_drinking,no_water_days
2024-03-01,7.0543415936081395,NA,NA,NA,NA,NA,NA
2024-04-01,3.976196255122437,0.6518410270862651,4.217367050265487,2.8464926893900606,0.44554955327402385,3.4920356747822106,0.5123184430583304
2024-05-01,3.2845644381698005,0.5603716273170991,3.987100119675591,2.5958239216520957,0.7853378648723739,2.5946454033179687,0.9608295143973735
2024-06-01,3.0257610369056187,0.5917373052186794,3.6829035955136673,2.494781221837838,0.21209836937279386,1.4173347331610426,0.5675248102861473
2024-07-01,1.7783201372371518,0.6253397596218225,5.870280170503554,3.495341360555413,1.6183590966727137,2.071388218479322,1.0202673970983853
2024-08-01,3.806294558149772,1.1185695081717173,4.079694468347271,1.5543443509009462,0.2998028462226216,3.291603795928838,0.1339908231438676
2024-09-01,4.390567579721223,1.2936468945841784,4.581201753991125,2.4711188015336454,0.4154020229991174,2.227814017550406,1.8982899088755738
2024-10-01,3.0824523363575524,1.0550282261687975,4.920391686171762,3.199090834666049,0.4130669600079717,1.5081332182950977,0.46240437604150053
2024-11-01,3.371265077695148,0.7494769338133214,6.009866673761759,4.019695514313512,0.7905629563729117,2.9447726216622727,0.5081708319636556
2024-12-01,1.5134640816852971,0.4686154528996642,3.939805602184384,3.7358661638540585,0.3464913626800565,3.361976023585339,0.09014351408086659
2025-01-01,0.8823613495289592,0.3720432299493551,4.243331273706281,1.9617736841275757,0.4618352074522324,0.618263834029244,0.1963462636124546
2025-02-01,0.9455768781148328,0.3343654123771442,2.658348724298739,1.428461995027589,0.2863293374858579,2.785072585480046,0.8924238194759083
2025-03-01,1.882106258816935,0.3803568896150698,2.379294399572412,2.1440972810816947,0.6467689429003338,2.7843661948550604,0.9442077083983232
2025-04-01,1.2800369148168071,0.19513736868915302,2.2422691821676355,1.1982802072234442,0.47547585004754783,0.9772775089333668,0.9373223920721377
2025-05-01,1.1194390922025483,0.32677777479292675,1.6388642820882064,1.8459578575705273,0.12587277729692906,1.2540916537103575,0.6291479999177855
2025-06-01,0.9719114532937625,0.31696240653601637,4.412195681954319,1.7908298175287924,0.5207091855548964,0.7458673621712473,0.05019321893831481
2025-07-01,1.1666592883277151,0.46697071419167757,4.552801315334176,4.263328528088098,0.457689083313818,1.0055577654315364,0.10224130843491527
2025-08-01,1.3333434152672612,0.5753647816963414,2.4897737597860905,1.7611257812678096,0.3260568934556259,1.130919735182381,0.6916119075541661
2025-09-01,0.9228734462687916,0.42824358357637277,2.3120420118388783,2.055865840873343,0.2257382551950614,2.9548024723149604,0
2025-10-01,0.718840635693295,0.46569905514831195,2.6175819616846883,1.5590851532630299,0.17595681402824112,2.8951253705799394,1.548309634129925
