date,quint,mean_kg,mean_price,product,quintile_label
2024-03-01,1,NA,NA,rice,Poorest
2024-03-01,2,NA,NA,rice,2
2024-03-01,3,NA,NA,rice,3
2024-03-01,4,NA,NA,rice,4
2024-03-01,5,NA,NA,rice,Richest
2024-04-01,1,5.669704766875331,143925.72115576724,rice,Poorest
2024-04-01,2,8.084177366063777,174967.34498780555,rice,2
2024-04-01,3,7.240530251363587,164111.34128025427,rice,3
2024-04-01,4,7.551742667316785,198207.78530077226,rice,4
2024-04-01,5,8.967284271957968,228580.53433736687,rice,Richest
2024-05-01,1,6.17032407347224,134077.0743980855,rice,Poorest
2024-05-01,2,5.316275374930531,112439.19109056583,rice,2
2024-05-01,3,6.452269008514774,139956.90470729492,rice,3
2024-05-01,4,6.530526012319053,148793.17495405025,rice,4
2024-05-01,5,6.991118676706458,184959.04482023887,rice,Richest
2024-06-01,1,5.801944091114962,137377.48177405223,rice,Poorest
2024-06-01,2,5.91960614324046,119676.57347605562,rice,2
2024-06-01,3,7.3860542639883455,136913.80363616967,rice,3
2024-06-01,4,7.052934034997496,154215.49025871104,rice,4
2024-06-01,5,7.4194217372169655,189522.34190030943,rice,Richest
2024-07-01,1,5.192474409073568,126916.39883548974,rice,Poorest
2024-07-01,2,5.262793808035544,121455.32865097756,rice,2
2024-07-01,3,6.460038883999775,142005.37274190757,rice,3
2024-07-01,4,5.969795158559317,143941.2732334099,rice,4
2024-07-01,5,7.664184744426723,227773.5862616949,rice,Richest
2024-08-01,1,7.0909879663912125,170253.35892440326,rice,Poorest
2024-08-01,2,5.270997579951483,118829.12927247242,rice,2
2024-08-01,3,5.574013399622746,120242.1505734144,rice,3
2024-08-01,4,7.88304111146235,154332.09131658354,rice,4
2024-08-01,5,7.125144655230536,217517.13422406197,rice,Richest
2024-09-01,1,5.8015896762572,123691.00609769575,rice,Poorest
2024-09-01,2,6.292054768907144,123779.59056600444,rice,2
2024-09-01,3,6.859907290886401,139229.50300928554,rice,3
2024-09-01,4,8.12420386118294,160091.69131171654,rice,4
2024-09-01,5,6.043599029052351,175803.33678083427,rice,Richest
2024-10-01,1,5.355815429103897,127712.57101588129,rice,Poorest
2024-10-01,2,4.994816120454675,111762.0992953819,rice,2
2024-10-01,3,6.442308945524934,149923.10901344605,rice,3
2024-10-01,4,6.762584051580666,147392.3877612186,rice,4
2024-10-01,5,7.788556873328947,236672.43003177008,rice,Richest
2024-11-01,1,5.429570451794984,130748.99520279159,rice,Poorest
2024-11-01,2,6.329993726341508,124476.4289259958,rice,2
2024-11-01,3,6.028535975844077,129428.00241440978,rice,3
2024-11-01,4,7.289545510618932,162596.5603329725,rice,4
2024-11-01,5,6.851173143782801,197941.52643917958,rice,Richest
2024-12-01,1,5.859349148726017,134152.6433148763,rice,Poorest
2024-12-01,2,5.800896208350079,148069.61773206262,rice,2
2024-12-01,3,6.110987783983784,126469.05324849518,rice,3
2024-12-01,4,7.621192704152352,154104.24299138514,rice,4
2024-12-01,5,9.242076432572997,226736.01084525377,rice,Richest
2025-01-01,1,5.082556729936734,146050.99341798542,rice,Poorest
2025-01-01,2,6.238286532465843,129726.73451571417,rice,2
2025-01-01,3,6.41746279065171,133194.955808456,rice,3
2025-01-01,4,8.906530693690554,178179.7870602775,rice,4
2025-01-01,5,8.183310311295356,193499.02635530863,rice,Richest
2025-02-01,1,6.019510214215519,148919.15692815714,rice,Poorest
2025-02-01,2,6.62621222758371,133387.4668599045,rice,2
2025-02-01,3,6.368551133100515,138712.84253029426,rice,3
2025-02-01,4,6.591568392588877,151071.62380421202,rice,4
2025-02-01,5,9.00074616547807,186072.36825108368,rice,Richest
2025-03-01,1,7.149674138450075,160497.8979445312,rice,Poorest
2025-03-01,2,7.177227147851218,143912.79984237126,rice,2
2025-03-01,3,6.276203625356259,159287.92581082886,rice,3
2025-03-01,4,7.736262797686369,160480.54626340838,rice,4
2025-03-01,5,8.070664235521527,199954.80918320065,rice,Richest
2025-04-01,1,4.3740778053230915,140737.1726810221,rice,Poorest
2025-04-01,2,5.554516232868897,143760.60658906304,rice,2
2025-04-01,3,5.048352022191735,122849.65868034207,rice,3
2025-04-01,4,6.308938718846993,171879.5412259594,rice,4
2025-04-01,5,7.0574089526176556,237503.2668631269,rice,Richest
2025-05-01,1,5.295848369223253,140659.32033418084,rice,Poorest
2025-05-01,2,4.81348140128293,119200.95656758867,rice,2
2025-05-01,3,6.490438856441208,146273.65277607847,rice,3
2025-05-01,4,5.99936434889589,143857.8085025329,rice,4
2025-05-01,5,8.472088180652142,278371.6003145811,rice,Richest
2025-06-01,1,4.67807205034627,129413.01105185816,rice,Poorest
2025-06-01,2,5.950624881315593,122816.24936599577,rice,2
2025-06-01,3,4.81159490370437,121532.39363796893,rice,3
2025-06-01,4,5.255593402930307,137182.47302089442,rice,4
2025-06-01,5,6.985249284018431,202273.13898520207,rice,Richest
2025-07-01,1,4.828713454425193,128430.8258572179,rice,Poorest
2025-07-01,2,6.425731076091074,151295.43252459576,rice,2
2025-07-01,3,5.492558371495418,133105.3474223391,rice,3
2025-07-01,4,7.331529203968591,171074.91010876608,rice,4
2025-07-01,5,8.447774086051158,221143.82562523684,rice,Richest
2025-08-01,1,4.702176571567694,137604.71862260415,rice,Poorest
2025-08-01,2,4.264398465289558,114319.22987330465,rice,2
2025-08-01,3,4.6231711347171425,134268.82858623003,rice,3
2025-08-01,4,5.992087232281396,159099.86725438776,rice,4
2025-08-01,5,7.327084180218841,229198.03044858898,rice,Richest
