mofd_label,region,totfoodinsec,weighted_count,percentage
2024m03,Java,0,67250414.32250977,41.957431055073066
2024m03,Java,1,29018361.442871094,18.104511501320612
2024m03,Java,2,19687589.2265625,12.283056928879121
2024m03,Java,3,14091477.981445313,8.791651647455707
2024m03,Java,4,11818808.5859375,7.373736673494324
2024m03,Java,5,5047745.130859375,3.149280498049265
2024m03,Java,6,5022410.85546875,3.133474482224072
2024m03,Java,7,4775435.7177734375,2.979387070026527
2024m03,Java,8,3570244.5615234375,2.227470143477307
2024m03,Kalimantan,0,7627372.908081055,44.20931039352005
2024m03,Kalimantan,1,2678398.5430908203,15.524369134174714
2024m03,Kalimantan,2,1419173.0693359375,8.225723782027817
2024m03,Kalimantan,3,1443640.349182129,8.36753952674634
2024m03,Kalimantan,4,889258.57177734375,5.154265917449901
2024m03,Kalimantan,5,918017.2546386719,5.320955228756318
2024m03,Kalimantan,6,727726.3173828125,4.218002585480531
2024m03,Kalimantan,7,816048.0908203125,4.729927824151855
2024m03,Kalimantan,8,733230.5029296875,4.249905607692479
2024m03,Maluku,0,652913.08251953125,17.792870555266337
2024m03,Maluku,1,404338.8996582031,11.018847523034616
2024m03,Maluku,2,360228.1376953125,9.816762438950853
2024m03,Maluku,3,213181.2490234375,5.809511970638994
2024m03,Maluku,4,711274.0966796875,19.38329659852863
2024m03,Maluku,5,333510.02734375,9.088653458300351
2024m03,Maluku,6,230849.83569335938,6.291007722415448
2024m03,Maluku,7,306015.1083984375,8.339375266732102
2024m03,Maluku,8,457210.34375,12.459674466132668
2024m03,Nusa Tenggara,0,5837000.333496094,36.39595674134234
2024m03,Nusa Tenggara,1,2660631.904296875,16.590069926452088
2024m03,Nusa Tenggara,2,1105121.3984375,6.890859741885934
2024m03,Nusa Tenggara,3,2419222.5888671875,15.08478938861916
2024m03,Nusa Tenggara,4,491947.9052734375,3.067485635828599
2024m03,Nusa Tenggara,5,854250.3076171875,5.3265813715812
2024m03,Nusa Tenggara,6,1918303.390625,11.961364268098265
2024m03,Nusa Tenggara,7,646770.49609375,4.032864425639904
2024m03,Nusa Tenggara,8,104248.298828125,0.65002850055251
2024m03,Papua,0,1422205.6248016357,31.08357964400132
2024m03,Papua,1,1310996.69140625,28.653008650582525
2024m03,Papua,2,189308.81103515625,4.137513874579993
2024m03,Papua,3,138846.18432617188,3.034607903038078
2024m03,Papua,4,250285.0020751953,5.470203225211166
2024m03,Papua,5,116283.16625976563,2.5414729042406994
2024m03,Papua,6,142843.30096435547,3.121968472566603
2024m03,Papua,7,257505.6821899414,5.628017666046239
2024m03,Papua,8,747149.7354736328,16.32962765973338
2024m03,Sulawesi,0,6203773.6806640625,30.45110025325683
2024m03,Sulawesi,1,2035208.310546875,9.989779687464438
2024m03,Sulawesi,2,2319353.8264160156,11.38450232494763
2024m03,Sulawesi,3,3541707.6040039063,17.38440163499012
2024m03,Sulawesi,4,1467962.7551269531,7.2054661123023225
2024m03,Sulawesi,5,1711226.2043457031,8.399519935252272
2024m03,Sulawesi,6,1132930.2375488281,5.560965634686501
2024m03,Sulawesi,7,1323164.0252685547,6.494724414357216
2024m03,Sulawesi,8,637578.20703125,3.1295400027426727
2024m03,Sumatra,0,23565389.002929688,37.441066232893164
2024m03,Sumatra,1,8706079.399658203,13.832357929287953
2024m03,Sumatra,2,7430279.354980469,11.805346452126738
2024m03,Sumatra,3,5653730.3525390625,8.982737037186904
2024m03,Sumatra,4,5186100.251953125,8.2397588683836709
2024m03,Sumatra,5,6508751.7607421875,10.341208699636223
2024m03,Sumatra,6,2647147.7490234375,4.205830601273708
2024m03,Sumatra,7,2282431.119140625,3.626362997578207
2024m03,Sumatra,8,960042.708984375,1.5253311816334296
2024m04,Java,0,80268113.04199219,51.096488293438526
2024m04,Java,1,30377307.5703125,19.337364263697538
2024m04,Java,2,13293741.506347656,8.462432733403546
2024m04,Java,3,12324676.890625,7.845552668377549
2024m04,Java,4,9319311.3125,5.932419030866593
2024m04,Java,5,5384992,3.427938819794025
2024m04,Java,6,3141217.5151367188,1.9996132699090514
2024m04,Java,7,1665511.791015625,1.0602193138350318
2024m04,Java,8,1316380.0859375,0.8379716066781439
2024m04,Kalimantan,0,9113991.37915039,48.36104389461905
2024m04,Kalimantan,1,3699424.0307617188,19.630039188511265
2024m04,Kalimantan,2,1034727.505859375,5.4905145559288115
2024m04,Kalimantan,3,1381216.3967285156,7.329068463128408
2024m04,Kalimantan,4,660456.1042480469,3.504539923208308
2024m04,Kalimantan,5,1214082.78515625,6.442217072857943
2024m04,Kalimantan,6,348540.71484375,1.8494413817617412
2024m04,Kalimantan,7,1393290.30078125,7.3931355199844715
2024m04,Maluku,0,477350.5897216797,14.877263773444472
2024m04,Maluku,1,399148.037109375,12.4399775774679
2024m04,Maluku,2,248268.07373046875,7.737603553745845
2024m04,Maluku,3,127590.146484375,3.9765160136226307
2024m04,Maluku,4,251239.54541015625,7.83021340680962
2024m04,Maluku,5,357157.9191894531,11.131299901931882
2024m04,Maluku,6,202736.728515625,6.318558836285796
2024m04,Maluku,7,579050.22412109375,18.04686766459105
2024m04,Maluku,8,566050.0263671875,17.641699272100805
2024m04,Nusa Tenggara,0,4812516.765625,29.914035614798667
2024m04,Nusa Tenggara,1,1767807.1171875,10.988480173486447
2024m04,Nusa Tenggara,2,2512540.443359375,15.61765453850078
2024m04,Nusa Tenggara,3,663905.603515625,4.126758790803212
2024m04,Nusa Tenggara,4,1651123.5390625,10.263188838061856
2024m04,Nusa Tenggara,5,1678791.9287109375,10.435172279087853
2024m04,Nusa Tenggara,6,1738010.3793945313,10.803267171859028
2024m04,Nusa Tenggara,7,710540.71826171875,4.416637154111874
2024m04,Nusa Tenggara,8,552585.380859375,3.434805439290283
2024m04,Papua,0,1334581.9299316406,28.432154251169322
2024m04,Papua,1,1487572.9380493164,31.691500001539595
2024m04,Papua,2,337290.6123046875,7.185695011627674
2024m04,Papua,3,292527.3708496094,6.23205150927761
2024m04,Papua,4,178018.12744140625,3.792527641354799
2024m04,Papua,5,272226.087890625,5.799549618130286
2024m04,Papua,6,247785.49212646484,5.278863122103272
2024m04,Papua,7,162381.04528808594,3.459392655895957
2024m04,Papua,8,381534.1279296875,8.128266188901485
2024m04,Sulawesi,0,9392353.4833984375,42.779552457775274
