quint,avg_days,weighted_n,se,lower_ci,upper_ci,quintile_label
1,0.22362150374245215,668367909.8078613,0.050218276355402165,0.1251936820858639,0.3220493253990404,Poorest
2,0.09182454390820652,663810310.1989746,0.034550192125175974,0.024106167342861612,0.15954292047355143,2
3,0.10059090362797475,667430475.1044922,0.02582943560960001,0.04996520983315873,0.15121659742279076,3
4,0.08271300572918135,659671031.3911133,0.032074834650007024,0.019846329815167582,0.14557968164319512,4
5,0.06615338205391773,660086587.6235352,0.024603362542301138,0.0179307914710075,0.11437597263682796,Richest
NA,0,120190.537109375,0,0,0,NA
