date,quint,total_population,pct_improving,pct_declining,pct_stable,quintile_label
2024-03-01,1,48468894.28778076,47.2836360549447,3.4941827854426823,49.22218115961262,Poorest
2024-03-01,2,55490029.68798828,44.87127087388581,2.462518653737612,52.66621047237658,2
2024-03-01,3,55754382.38647461,48.268407635468485,3.323091047454412,48.4085013170771,3
2024-03-01,4,54783028.95324707,40.923773813135796,3.3536345159721197,55.722591670892086,4
2024-03-01,5,55230557.20336914,45.514885610851934,1.9148503069531062,52.57026408219495,Richest
2024-03-01,NA,269763911.00323486,45.34450716137405,2.8942411218585233,51.76125171676743,Total
2024-04-01,1,55464906.78588867,51.36197163398714,1.4560399854644515,47.18198838054841,Poorest
2024-04-01,2,55326852.32128906,57.18521193577829,2.240511788451258,40.57427627577045,2
2024-04-01,3,55150503.8137207,52.27211927766666,3.491535575887952,44.23634514644539,3
2024-04-01,4,55287557.578125,51.54062860446348,2.3970864138414436,46.06228498169507,4
2024-04-01,5,55242814.78979492,48.710853103154456,0.2636087305953162,51.02553816625023,Richest
2024-04-01,NA,276546219.39038086,52.227569800566684,1.9684632666976078,45.803966932735705,Total
2024-05-01,1,53883492.6237793,53.38236772552361,1.310437030600061,45.307195243876336,Poorest
2024-05-01,2,55357376.75256348,57.90692913900921,1.081129470309999,41.011941390680796,2
2024-05-01,3,55688132.021972656,53.55886165848667,0.5857802695106356,45.855358072002694,3
2024-05-01,4,54953121.306396484,45.64053805087654,1.708406864188617,52.65105508493484,4
2024-05-01,5,55162010.114746094,52.33249026759095,0.8406579178304785,46.82685181457858,Richest
2024-05-01,NA,275167976.9522705,52.592736351569826,1.1023633565120465,46.30490029191813,Total
2024-06-01,1,55069938.96777344,52.19157231823374,1.0658312859495918,46.74259639581667,Poorest
2024-06-01,2,55305773.75683594,52.40851958943055,2.3294644595597203,45.26201595100973,2
2024-06-01,3,55104218.853271484,60.05905185032473,0.4735112859639224,39.467436863711356,3
2024-06-01,4,55369326.61230469,49.76716956493684,0.6193162668982619,49.6135141681649,4
2024-06-01,5,55151773.86328125,46.13335885893883,1.84561385604158,52.02102728501959,Richest
2024-06-01,NA,276017009.564209,52.10584243007806,1.2669529715255994,46.62720459839634,Total
2024-07-01,1,53167273.263305664,58.91399242104525,1.655533444183345,39.430474134771416,Poorest
2024-07-01,2,55659798.701171875,49.08035356235262,1.5746570097756156,49.344989427871766,2
2024-07-01,3,55249030.69213867,56.44287555103824,0.12206642321164929,43.43505802575011,3
2024-07-01,4,55533679.79199219,56.67366392990398,0.5012553324264667,42.825080737669545,4
2024-07-01,5,54863212.87109375,54.172638074370205,1.7080996511416442,44.11926227448815,Richest
2024-07-01,NA,274483552.97888184,55.01930812650133,1.1073804873381552,43.87331138616051,Total
2024-08-01,1,52300459.98901367,50.550801550440184,2.2466106107681845,47.20258783879163,Poorest
2024-08-01,2,56210990.19824219,53.0593515055284,1.1083296767061441,45.832318817765454,2
2024-08-01,3,54503338.02758789,55.172002498881625,1.5210915907326867,43.30690591038569,3
2024-08-01,4,55482813.91699219,59.60226275058993,0.8316014530356087,39.56613579637446,4
2024-08-01,5,55109153.27734375,49.781322638762,0.5716758894878907,49.64700147175011,Richest
2024-08-01,NA,273620311.42089844,53.664564884742575,1.2438689482405876,45.091566167016836,Total
2024-09-01,1,55359524.658447266,55.07962671126935,3.9670582777188677,40.95331501101179,Poorest
2024-09-01,2,55002524.13183594,51.9847043459312,0.35843097939461677,47.65686467467418,2
2024-09-01,3,55440527.302246094,57.99970041385472,2.2160865386470174,39.78421304749827,3
2024-09-01,4,55392486.903808594,53.36827864686704,3.3499722316311336,43.281749121501825,4
2024-09-01,5,55141816.21875,47.54052854266364,0.17559187821660202,52.28387957911976,Richest
2024-09-01,NA,276353809.0354004,53.19875524015072,2.0171092462347553,44.78413551361452,Total
2024-10-01,1,53368864.77783203,50.9313356467896,2.0652610826923126,47.003403270518085,Poorest
2024-10-01,2,55555453.30859375,56.011019336780485,0,43.988980663219515,2
2024-10-01,3,55299532.50341797,59.259438921952565,1.2657135284448169,39.47484754960261,3
2024-10-01,4,55205482.267089844,54.2206042502,0.08735614803468358,45.69203960176531,4
2024-10-01,5,55182079.099853516,53.91695936191911,1.719529601001988,44.3635110370789,Richest
2024-10-01,NA,274635005.5788574,54.89252506038458,1.0192574031400388,44.08821753647538,Total
2024-11-01,1,55092922.33886719,54.783756955537676,1.4237881220935227,43.7924549223688,Poorest
2024-11-01,2,55421913.90673828,52.13968103025511,2.3199587269467923,45.5403602427981,2
2024-11-01,3,55992019.052734375,58.5521822810437,1.7053468842487103,39.74247083470759,3
2024-11-01,4,54615436.37451172,45.45025026426632,0.5805611184848558,53.96918861724882,4
2024-11-01,5,55172691.490234375,54.87386083675284,0.7096194862836694,44.41651967696349,Richest
2024-11-01,NA,276314052.0732422,53.18642617881838,1.3512241940748353,45.46234962710679,Total
2024-12-01,1,55268711.955566406,56.73336210031865,0.8619150825168358,42.40472281716451,Poorest
2024-12-01,2,55290769.002441406,55.52610327184657,1.001848896259547,43.47204783189388,2
2024-12-01,3,55575555.029296875,60.25721623037483,0.6944962480856633,39.0482875215395,3
2024-12-01,4,55325249.549072266,52.76491178232641,2.9082836068525584,44.32680461082103,4
2024-12-01,5,55047536.42163086,49.402321659319114,0.1867600892028334,50.41091825147805,Richest
2024-12-01,NA,276530686.56933594,54.94217381608095,1.1311914412797195,43.92663474263933,Total
2025-01-01,1,55244076.263671875,54.91626595742309,2.2541440633130394,42.82958997926387,Poorest
