date,source_label,weighted_count,n_households,percentage
2024-03-01,Bottled water (new),348742.0625,2,1.8237157551542187
2024-03-01,Bottled water (refill),4380482.475952148,34,22.907345472761534
2024-03-01,Cart with small tank/drum,1260177.470703125,7,6.589986568114889
2024-03-01,Other,2715131.6640625,18,14.198540771286725
2024-03-01,Piped into dwelling,927248.3095703125,14,4.848962981353863
2024-03-01,Piped into yard/plot,28615.66015625,1,0.14964306254595247
2024-03-01,Protected spring,483073.1630859375,7,2.526188358514992
2024-03-01,Protected well,5360731.604980469,33,28.033471549351873
2024-03-01,Public tap/standpipe,49395.904296875,2,0.25831151040549033
2024-03-01,Rainwater collection,1210490.0673828125,6,6.330150689361503
2024-03-01,Surface water,733320.21533203125,13,3.834833173512328
2024-03-01,Tanker-truck,435689.201171875,4,2.278398122760728
2024-03-01,Tubewell/borehole,330118.9111328125,8,1.7263276330691129
2024-03-01,Unprotected spring,195089.51489257813,6,1.020203354377387
2024-03-01,Unprotected well,664304.38525390625,7,3.473920997429402
2024-04-01,Bottled water (new),2204381.80859375,8,20.037722190656847
2024-04-01,Bottled water (refill),1889324.3452148438,24,17.173865348494434
2024-04-01,Cart with small tank/drum,67383.8359375,1,0.6125157535743658
2024-04-01,Other,1225048.3515625,5,11.135629246727897
2024-04-01,Piped into dwelling,208421.69140625,4,1.8945429211146732
2024-04-01,Piped into yard/plot,44276.69921875,1,0.40247301760785414
2024-04-01,Protected spring,481222.91015625,4,4.37429257849016
2024-04-01,Protected well,2929498.55859375,8,26.62899777442741
2024-04-01,Public tap/standpipe,8689.728515625,1,0.07898920469653177
2024-04-01,Rainwater collection,938178.76708984375,9,8.52799883705797
2024-04-01,Surface water,176974.65185546875,3,1.608690878705045
2024-04-01,Unprotected spring,120554.65625,2,1.095835894358361
2024-04-01,Unprotected well,707203.646484375,6,6.428446354088453
2024-05-01,Bottled water (new),1043051.99609375,13,11.500179510931046
2024-05-01,Bottled water (refill),2059605.6674804688,17,22.70820149566873
2024-05-01,Cart with small tank/drum,730378.203125,3,8.052791690409467
2024-05-01,Other,11455.2392578125,1,0.1262998472740257
2024-05-01,Piped into dwelling,52053.48828125,2,0.5739162205205309
2024-05-01,Piped into yard/plot,344725.212890625,3,3.8007710497970097
2024-05-01,Protected spring,910442.1142578125,8,10.038088021966038
2024-05-01,Protected well,1115609.701171875,12,12.300165164977608
2024-05-01,Public tap/standpipe,23784.18505859375,2,0.26223275418615644
2024-05-01,Rainwater collection,735493.828125,9,8.109194061557721
2024-05-01,Surface water,359937.43798828125,6,3.9684935794876712
2024-05-01,Tanker-truck,270783.17578125,2,2.9855224300289613
2024-05-01,Tubewell/borehole,560792.8359375,3,6.18302664284983
2024-05-01,Unprotected spring,535351.6171875,3,5.90252424824479
2024-05-01,Unprotected well,316411.0771484375,5,3.488593282100414
2024-06-01,Bottled water (new),390601.55078125,5,4.798799523878607
2024-06-01,Bottled water (refill),1990327.53515625,15,24.45249592319022
2024-06-01,Other,1078383.875,1,13.2486622635211
2024-06-01,Piped into dwelling,18087.55859375,1,0.2222176727004958
2024-06-01,Protected spring,846598.24609375,5,10.40102183963518
2024-06-01,Protected well,2888344.1904296875,12,35.485227076310096
2024-06-01,Public tap/standpipe,88249.65234375,2,1.0842056023653885
2024-06-01,Rainwater collection,134617.65625,2,1.6538673321344222
2024-06-01,Surface water,78053.71044921875,2,0.9589416831333526
2024-06-01,Tanker-truck,344280.34375,2,4.229712724805623
2024-06-01,Tubewell/borehole,169626.1962890625,2,2.0839705023218422
2024-06-01,Unprotected spring,112397.4921875,1,1.3808778560036783
2024-07-01,Bottled water (new),460105.140625,4,9.385960271824578
2024-07-01,Bottled water (refill),902405.9931640625,13,18.408720209882556
2024-07-01,Cart with small tank/drum,68437.59375,1,1.3960994549293841
2024-07-01,Other,542904.79150390625,6,11.075039930040708
2024-07-01,Piped into dwelling,81921.9912109375,2,1.671175753111858
2024-07-01,Protected spring,1165590.5703125,5,23.777579992489304
2024-07-01,Protected well,431684.53515625,5,8.806191322778426
2024-07-01,Public tap/standpipe,36397.46484375,1,0.7424936799326144
2024-07-01,Rainwater collection,64462.3701171875,2,1.3150064877034295
2024-07-01,Surface water,28797.27734375,1,0.5874529041731493
2024-07-01,Tanker-truck,207827.640625,2,4.239600487061577
2024-07-01,Tubewell/borehole,297220.43359375,3,6.063177598702607
2024-07-01,Unprotected spring,218178.0703125,4,4.450745100032481
2024-07-01,Unprotected well,396123.3203125,5,8.080756807337327
2024-08-01,Bottled water (new),805486.55078125,5,7.651069186275046
2024-08-01,Bottled water (refill),3111049.3203125,14,29.550901338499386
2024-08-01,Other,581252.046875,2,5.521134550280479
2024-08-01,Piped into dwelling,1613791.3095703125,6,15.328907664263497
2024-08-01,Piped into yard/plot,484802.703125,2,4.604991876903329
2024-08-01,Protected spring,1229023.8305664063,5,11.674119636291813
2024-08-01,Protected well,280522.06640625,3,2.6645928926676037
2024-08-01,Public tap/standpipe,864017,1,8.2070319345569
2024-08-01,Surface water,699248.99609375,3,6.641951305527853
2024-08-01,Tanker-truck,219873.55859375,2,2.0885113567714217
2024-08-01,Tubewell/borehole,34349.3984375,1,0.3262743787557205
2024-08-01,Unprotected spring,63141.265625,1,0.5997594762287256
2024-08-01,Unprotected well,541206.5205078125,7,5.140754402978229
2024-09-01,Bottled water (new),237222.1328125,2,1.9531442498049107
2024-09-01,Bottled water (refill),5176510.295410156,12,42.620269861276256
2024-09-01,Cart with small tank/drum,234928.54296875,2,1.934260211618339
2024-09-01,Other,617671.90625,2,5.085538679106995
2024-09-01,Piped into dwelling,319002.5078125,3,2.6264746312680463
2024-09-01,Piped into yard/plot,451672.5,1,3.7187994885253115
2024-09-01,Protected spring,906212.16015625,5,7.461205447939559
2024-09-01,Protected well,2270467.177734375,12,18.69366007288932
2024-09-01,Rainwater collection,339419.7685546875,2,2.7945780664011015
2024-09-01,Surface water,189825.76953125,3,1.5629111239708775
2024-09-01,Tanker-truck,159419.154296875,3,1.3125613568688739
2024-09-01,Tubewell/borehole,230723.59375,2,1.8996391908478416
