date,quint,sv28,n,percent,quintile_label,inflation_perception
2024-04-01,1,1,28415695.521240234,0.5123184580645456,Poorest,1. Faster than expected
2024-04-01,1,2,20931612.934570313,0.37738480324816326,Poorest,2. At a typical pace
2024-04-01,1,3,6117598.330078125,0.11029673868729116,Poorest,3. Slower than expected
2024-04-01,2,1,34973182.23876953,0.6321195002324811,2,1. Faster than expected
2024-04-01,2,2,17766684.23486328,0.32112226684594686,2,2. At a typical pace
2024-04-01,2,3,2586985.84765625,0.04675823292157199,2,3. Slower than expected
2024-04-01,3,1,36239944.728027344,0.6571099486313547,3,1. Faster than expected
2024-04-01,3,2,16735890.372802734,0.30345852196256945,3,2. At a typical pace
2024-04-01,3,3,2174668.712890625,0.039431529406075826,3,3. Slower than expected
2024-04-01,4,1,37958744.354003906,0.6865693840854821,4,1. Faster than expected
2024-04-01,4,2,16400736.576660156,0.2966442594879476,4,2. At a typical pace
2024-04-01,4,3,928076.6474609375,0.01678635642657036,4,3. Slower than expected
2024-04-01,5,1,35659468.86303711,0.6455041981246858,Richest,1. Faster than expected
2024-04-01,5,2,15139705.254882813,0.27405745548070065,Richest,2. At a typical pace
2024-04-01,5,3,4443640.671875,0.08043834639461347,Richest,3. Slower than expected
2024-05-01,1,1,28823490.34375,0.5634735378320962,Poorest,1. Faster than expected
2024-05-01,1,2,19239376.943115234,0.37611266583379294,Poorest,2. At a typical pace
2024-05-01,1,3,3090360.697265625,0.06041379633411092,Poorest,3. Slower than expected
2024-05-01,2,1,24621600.141723633,0.44752128150944137,2,1. Faster than expected
2024-05-01,2,2,25512913.92626953,0.46372176745637494,2,2. At a typical pace
2024-05-01,2,3,4883204.9970703125,0.08875695103418367,2,3. Slower than expected
2024-05-01,3,1,29556037.14868164,0.5368645012091062,3,1. Faster than expected
2024-05-01,3,2,22100687.83154297,0.4014433562040886,3,2. At a typical pace
2024-05-01,3,3,3396341.635498047,0.06169214258680519,3,3. Slower than expected
2024-05-01,4,1,27670769.094970703,0.5035340748105942,4,1. Faster than expected
2024-05-01,4,2,23878655.787597656,0.434527743282495,4,2. At a typical pace
2024-05-01,4,3,3403696.423828125,0.06193818190691087,4,3. Slower than expected
2024-05-01,5,1,22560442.369873047,0.40945721333165735,Richest,1. Faster than expected
2024-05-01,5,2,28342102.21850586,0.5143905427070621,Richest,2. At a typical pace
2024-05-01,5,3,4195867.7373046875,0.0761522439612806,Richest,3. Slower than expected
2024-06-01,1,1,27888771.778320313,0.5071689680757023,Poorest,1. Faster than expected
2024-06-01,1,2,21623876.328125,0.3932392265355001,Poorest,2. At a typical pace
2024-06-01,1,3,5476465.056640625,0.09959180538879764,Poorest,3. Slower than expected
2024-06-01,2,1,23063425.301757813,0.4170165922126189,2,1. Faster than expected
2024-06-01,2,2,29669873.512695313,0.5364697299624714,2,2. At a typical pace
2024-06-01,2,3,2572474.9423828125,0.0465136778249097,2,3. Slower than expected
2024-06-01,3,1,23589982.635742188,0.4280975781283881,3,1. Faster than expected
2024-06-01,3,2,29518937.047607422,0.5356928682032285,3,2. At a typical pace
2024-06-01,3,3,1995299.169921875,0.03620955366838334,3,3. Slower than expected
2024-06-01,4,1,22512456.896972656,0.4065871534722571,4,1. Faster than expected
2024-06-01,4,2,29465585.87841797,0.5321644253457446,4,2. At a typical pace
2024-06-01,4,3,3391283.8369140625,0.06124842118199826,4,3. Slower than expected
2024-06-01,5,1,21529241.032714844,0.3903635282173309,Richest,1. Faster than expected
2024-06-01,5,2,26888436.349121094,0.4875352951616082,Richest,2. At a typical pace
2024-06-01,5,3,6734096.4814453125,0.12210117662106088,Richest,3. Slower than expected
2024-07-01,1,1,23193870.143188477,0.4488397135346187,Poorest,1. Faster than expected
2024-07-01,1,2,23695622.729003906,0.45854945518154216,Poorest,2. At a typical pace
2024-07-01,1,3,4785680.789550781,0.09261083128383908,Poorest,3. Slower than expected
2024-07-01,2,1,20761539.275390625,0.3730078038344308,2,1. Faster than expected
2024-07-01,2,2,31829965.342773438,0.5718663395400185,2,2. At a typical pace
2024-07-01,2,3,3068294.0830078125,0.055125856625550675,2,3. Slower than expected
2024-07-01,3,1,20972575.431396484,0.37984031122426176,3,1. Faster than expected
2024-07-01,3,2,29788619.204101563,0.5395102011404967,3,2. At a typical pace
2024-07-01,3,3,4452996.201171875,0.08064948763524149,3,3. Slower than expected
2024-07-01,4,1,22029884.294921875,0.39669412107098523,4,1. Faster than expected
2024-07-01,4,2,30386165.553710938,0.5471664342706234,4,2. At a typical pace
2024-07-01,4,3,3117629.943359375,0.056139444658391414,4,3. Slower than expected
2024-07-01,5,1,19786914.10986328,0.3606590477366772,Richest,1. Faster than expected
2024-07-01,5,2,31236605.494140625,0.5693542878637814,Richest,2. At a typical pace
2024-07-01,5,3,3839693.2670898438,0.0699866643995415,Richest,3. Slower than expected
2024-08-01,1,1,23747549.5703125,0.45760566347830933,Poorest,1. Faster than expected
2024-08-01,1,2,23548530.34790039,0.45377064365669867,Poorest,2. At a typical pace
2024-08-01,1,3,4599146.617675781,0.08862369286499201,Poorest,3. Slower than expected
2024-08-01,2,1,21725735.005859375,0.38650333198611353,2,1. Faster than expected
2024-08-01,2,2,31079629.8828125,0.5529102008913626,2,2. At a typical pace
2024-08-01,2,3,3405625.3095703125,0.060586467122523885,2,3. Slower than expected
2024-08-01,3,1,18453056.407226563,0.3385674543068573,3,1. Faster than expected
2024-08-01,3,2,33803579.92504883,0.6202111861100784,3,2. At a typical pace
2024-08-01,3,3,2246701.6953125,0.04122135958306425,3,3. Slower than expected
