mofd_label,region,worried,unhealthy,low_diversity,skip_meal,eat_less,ran_out,went_hungry,whole_day
2024m03,Java,0.4634677555889983,0.2318841547884071,0.39285283616507827,0.07450982556478139,0.2250411223265806,0.19895479878824776,0.14583667482159884,0.044331370416904936
2024m03,Kalimantan,0.4894405774182112,0.2930710625181624,0.39873583981966676,0.1445226541654319,0.21921302758880373,0.22034746923560206,0.16066516970408523,0.06562546394540296
2024m03,Maluku,0.7047504659962132,0.5741889661866116,0.6260943513930418,0.3202314454149485,0.4778037814816477,0.4277034927733911,0.3578403303244787,0.17995147572115058
2024m03,Nusa Tenggara,0.5551147799102014,0.3172118290758262,0.4268979028215144,0.1981630210530075,0.31585845377572463,0.3085130844942744,0.1378135323128055,0.014204130654956907
2024m03,Papua,0.5687914670262477,0.3366583724281273,0.4332011882300521,0.26735787104359227,0.36610386412417223,0.28929609045329024,0.26478656158530195,0.24432677902749533
2024m03,Sulawesi,0.58341031773529894,0.37438391030849505,0.6255853324304412,0.18000424086990272,0.3246016556511839,0.32041770548089804,0.1717178640701144,0.05764926571682652
2024m03,Sumatra,0.5441773191222403,0.31115562693937476,0.4457813826445026,0.12550943675153714,0.2654857899797762,0.24382768671764748,0.15135435224107083,0.04085567585089432
2024m04,Java,0.329986071872628,0.19026993242803414,0.34663628606801805,0.05205782425321145,0.1597724529607552,0.11141514360412554,0.06319161203952123,0.014583133051690955
2024m04,Kalimantan,0.37714762198605944,0.3054857654706293,0.305422375945481,0.14041792945944903,0.24885170066813259,0.10048469010647146,0.09516819314047256,0.04378287999669267
2024m04,Maluku,0.7943526437265155,0.6849853207328668,0.6873974416771769,0.3937005969946862,0.48199101620225393,0.5094905544157156,0.4262429325509938,0.34379056079363085
2024m04,Nusa Tenggara,0.541587371567887,0.41362436747249276,0.5412384414013012,0.27986909445212943,0.35784849309069233,0.3286908478819352,0.16564516913040317,0.0819681049515977
2024m04,Papua,0.3702230089111029,0.3307478605979895,0.6038424220410654,0.15879696588402584,0.32663485422922645,0.2351653861357953,0.18283013625337596,0.09017896638543471
2024m04,Sulawesi,0.36844047607797314,0.31413914742103066,0.4578243476190441,0.18326230474700297,0.20609365389876477,0.09168506157552668,0.10858336339881562,0.012212077425009973
2024m04,Sumatra,0.49399051863376503,0.3335781681312128,0.4735470725031918,0.11534599526090121,0.23445529992136677,0.2414354088180978,0.13628166149166826,0.037764679497243
2024m05,Java,0.3152183759256715,0.14954599393354498,0.2864261442568753,0.06689735602794641,0.1665549656457309,0.11691515948426558,0.06323311711530177,0.016391887242206145
2024m05,Kalimantan,0.4172798409811886,0.3718226047915099,0.40125346809776524,0.11370621241149319,0.13803955315984492,0.07054107680880037,0.0258005756528874,0.0012537590314941084
2024m05,Maluku,0.5457857584349141,0.5775496785087711,0.7027843268071445,0.10420632223148625,0.41326155658533087,0.3053559918075954,0.21182411383416544,0.055509010947764004
2024m05,Nusa Tenggara,0.5152303710329492,0.3383913649171745,0.5399105331484155,0.3288437651544497,0.3735974385227082,0.2286806325536575,0.16564251409521422,0.12054068370401459
2024m05,Papua,0.45617284605054687,0.32276389383786286,0.4843168469578072,0.12555116729495358,0.1735068511842443,0.19806951620077273,0.2037540948759555,0.08062391128554204
2024m05,Sulawesi,0.5097258791074821,0.42434788531577183,0.5297182855678921,0.16947821439100508,0.3215938154797691,0.17470100902137262,0.13294740082816253,0.02327991799632472
2024m05,Sumatra,0.4443074411924508,0.3499661515990424,0.4102934074442885,0.1237472365464552,0.20025909819481097,0.20129626065892592,0.11440718383840914,0.031813066760009924
2024m06,Java,0.2919400004762927,0.16194055603305071,0.2261504150903856,0.06797933134062073,0.14906011341824096,0.10533946672816508,0.06862093593214728,0.03067767090423302
2024m06,Kalimantan,0.2686606829417017,0.20171369832187094,0.2516978756061674,0.06947546585049431,0.05884160713995746,0.034285789475039255,0.014748868089588417,0.007456933412850491
2024m06,Maluku,0.7288590100813157,0.6171248412134893,0.623220792690124,0.2514878621438892,0.43727014466783193,0.42015606196697486,0.3355354807723943,0.17893513147165208
2024m06,Nusa Tenggara,0.410099893673114,0.26070589572344294,0.40229811839047136,0.23791715844931738,0.29135117592366233,0.16646122388549417,0.11852622046082383,0.06077148228679806
2024m06,Papua,0.36238290310943927,0.42318674939600476,0.4763611208141389,0.31748335465598315,0.415655767023888,0.3843399086039167,0.3577591802916322,0.31779039746276666
2024m06,Sulawesi,0.4194093953130033,0.3733146729917087,0.40724793296259043,0.19536252515115926,0.20619388001026326,0.13336553919449437,0.08188203195853429,0.010176053299472916
2024m06,Sumatra,0.38785735143402594,0.27675862799392564,0.35283260105609776,0.12613384935605113,0.1783451142781895,0.17145503451893812,0.09183376710833155,0.021132871191019253
2024m07,Java,0.2613772895488056,0.15369682987964658,0.2478996685163995,0.0770171139382344,0.12554923981373448,0.08563673978409017,0.04341919566714006,0.012415068421678263
2024m07,Kalimantan,0.29720696295859694,0.11191209339867854,0.22372263133947176,0.0626927013132423,0.10316471353298773,0.037428714201533354,0.028680834367532295,0.00598322933308934
2024m07,Maluku,0.6693297665563918,0.7125294649267666,0.6135627599601206,0.38810003995943054,0.5296039623940946,0.2960198367761166,0.33140663964013883,0.3131562729416618
2024m07,Nusa Tenggara,0.3238421647579864,0.25044435174100554,0.3176302093006143,0.1715672442591325,0.2483738993072894,0.16675555519033308,0.10908836132995614,0.08616608190320178
2024m07,Papua,0.24896350282033536,0.14700761499096643,0.16656513896236738,0.07012902946617396,0.1615315938740977,0.0646087447426862,0.10201112703806141,0.08180501956158909
