mofd_label,totfoodinsec,weighted_count,percentage
2025m04,1,35918771.2298584,12.529105670761318
2025m04,2,25340407.22998047,8.83918433324984
2025m04,3,12703785.840332031,4.431306243570206
2025m04,4,6542087.93359375,2.281996522177014
2025m04,5,10283985.135742188,3.5872367586768505
2025m04,6,4532407.2294921875,1.580984181163316
2025m04,7,1513772.19140625,0.5280306396401079
2025m04,8,2193302.146484375,0.765062763014755
2025m05,0,193637421.4177246,66.54263432864529
2025m05,1,40164711.673706055,13.802423634083002
2025m05,2,17676420.58569336,6.07442292229091
2025m05,3,12492913.384277344,4.293133842327192
2025m05,4,8132877.2021484375,2.7948268973013812
2025m05,5,8377616.7646484375,2.8789305539910557
2025m05,6,3103359.4228515625,1.0664555939302789
2025m05,7,2565066.7138671875,0.8814737106069535
2025m05,8,4847141.519287109,1.6656985168239409
2025m06,0,197093486.859375,67.37925303805595
2025m06,1,38862155.52294922,13.285588744255994
2025m06,2,24984923.06188965,8.541456544043816
2025m06,3,12066789.658203125,4.125206198808447
2025m06,4,5660411.9228515625,1.9350935098203768
2025m06,5,3244095.8901367188,1.1090410005136204
2025m06,6,2605612.0463867188,0.8907660835984981
2025m06,7,5055620.079589844,1.728336689532557
2025m06,8,2940517.0463867188,1.0052581913707381
2025m07,0,188207786.96972656,64.57919226812751
2025m07,1,38966807.36328125,13.370567633278638
2025m07,2,18687537.167236328,6.412200447024295
2025m07,3,14906443.877929688,5.114804869267797
2025m07,4,12526360.611328125,4.298133798624271
2025m07,5,8068103.282714844,2.768384887376425
2025m07,6,3727209.1228027344,1.2789064599315094
2025m07,7,5079901.459472656,1.743051859523721
2025m07,8,1267045.873046875,0.43475777684582856
2025m08,0,193115330.19677734,66.46121813563664
2025m08,1,39853509.752075195,13.715704508826162
2025m08,2,15648781.56665039,5.385574952533919
2025m08,3,17301818.911132813,5.954472695794663
2025m08,4,7909306.236328125,2.722011383241945
2025m08,5,7463585.0947265625,2.568615120037664
2025m08,6,4024759.544921875,1.3851330279474738
2025m08,7,3321060.1640625,1.14295278257
2025m08,8,1930296.7412109375,0.664317393411523
2025m09,0,181342243.52355957,62.36176031093704
2025m09,1,43842435.209228516,15.076969286588144
2025m09,2,20638495.06665039,7.097369358164454
2025m09,3,16671240.435180664,5.733070683939507
2025m09,4,12916142.768554688,4.44173064049362
2025m09,5,6215866.493408203,2.1375735121328567
2025m09,6,3931148.6640625,1.351882197834815
