region,percentage,weighted_count,n_households
Java,0.6182018226853089,11488585.55078125,35
Kalimantan,1.4892364880294386,3035092.53125,16
Maluku,7.737139524084988,2910504.3090820313,31
Nusa Tenggara,5.132892099631381,9669016.328125,57
Papua,3.4614078840366282,1896235.3969726563,16
Sulawesi,1.3328080573117416,3230902.765625,47
Sumatra,1.6782112749495026,12330319.1171875,65
Indonesia Total,1.3421457167523014,44560655.99902344,267
