quint,date,percentage,quintile_label
1,2024-04-01,22.103710492519145,Poorest
1,2024-05-01,28.44438354561595,Poorest
1,2024-06-01,39.186818687790065,Poorest
1,2024-07-01,39.20858712433582,Poorest
1,2024-08-01,52.608582388933435,Poorest
1,2024-09-01,39.307944392044305,Poorest
1,2024-10-01,43.348174605587516,Poorest
1,2024-11-01,39.23846788233063,Poorest
1,2024-12-01,42.15953316083102,Poorest
1,2025-01-01,39.13359061231201,Poorest
1,2025-02-01,46.72708644377407,Poorest
1,2025-03-01,28.19879743627567,Poorest
1,2025-04-01,37.76070377991528,Poorest
1,2025-05-01,44.64204405279748,Poorest
1,2025-06-01,39.19124839536353,Poorest
1,2025-07-01,33.015717832051635,Poorest
1,2025-08-01,38.10924153407479,Poorest
1,2025-09-01,40.16275416934968,Poorest
1,2025-10-01,33.78055719699658,Poorest
2,2024-04-01,38.674703705933844,2
2,2024-05-01,40.79693311227806,2
2,2024-06-01,48.53346488057299,2
2,2024-07-01,40.29516962015673,2
2,2024-08-01,40.25318843150092,2
2,2024-09-01,49.54760071504631,2
2,2024-10-01,50.65710929374872,2
2,2024-11-01,50.25788972019567,2
2,2024-12-01,40.57650890975352,2
2,2025-01-01,44.59484681901203,2
2,2025-02-01,43.09844904386072,2
2,2025-03-01,57.54497685285608,2
2,2025-04-01,49.096476604392244,2
2,2025-05-01,48.28266924090514,2
2,2025-06-01,45.3071466967424,2
2,2025-07-01,48.81869624792837,2
2,2025-08-01,50.270943112302405,2
2,2025-09-01,45.82045361249662,2
2,2025-10-01,55.12331955630591,2
3,2024-04-01,47.08700310132333,3
3,2024-05-01,45.010001075318215,3
3,2024-06-01,58.56785678675721,3
3,2024-07-01,57.90887635443504,3
3,2024-08-01,55.660037180361186,3
3,2024-09-01,59.02949201457702,3
3,2024-10-01,60.84032158866781,3
3,2024-11-01,57.17038633877388,3
3,2024-12-01,48.03523597182923,3
3,2025-01-01,57.180516232530685,3
3,2025-02-01,52.08119949802155,3
3,2025-03-01,65.78113270421517,3
3,2025-04-01,62.66055746351451,3
3,2025-05-01,61.16746422170595,3
3,2025-06-01,59.20456754217929,3
3,2025-07-01,69.0725033911697,3
3,2025-08-01,64.2624029345288,3
3,2025-09-01,60.32108901229184,3
3,2025-10-01,53.95120444657644,3
4,2024-04-01,66.81531492993005,4
4,2024-05-01,62.95762124762694,4
4,2024-06-01,58.96753238869958,4
4,2024-07-01,63.03296347851608,4
4,2024-08-01,62.31517299629468,4
4,2024-09-01,62.482423740602286,4
4,2024-10-01,63.66528091393329,4
4,2024-11-01,70.2507636207698,4
4,2024-12-01,70.06451629153581,4
4,2025-01-01,57.48501083318981,4
4,2025-02-01,64.50611943440231,4
4,2025-03-01,66.48430696821677,4
4,2025-04-01,61.153008612645145,4
4,2025-05-01,63.754417639690345,4
4,2025-06-01,60.58919350930984,4
4,2025-07-01,59.856279700270356,4
4,2025-08-01,61.13058128514361,4
4,2025-09-01,67.86710187661147,4
4,2025-10-01,67.85336583577165,4
5,2024-04-01,68.08053484171029,Richest
5,2024-05-01,68.38742487522744,Richest
5,2024-06-01,69.21389163689814,Richest
5,2024-07-01,74.54206047588242,Richest
5,2024-08-01,76.57359769680173,Richest
5,2024-09-01,78.34281309081626,Richest
5,2024-10-01,76.85775892074727,Richest
5,2024-11-01,72.23481905319098,Richest
5,2024-12-01,76.41174664745503,Richest
5,2025-01-01,74.99800788927149,Richest
5,2025-02-01,72.1795520442188,Richest
5,2025-03-01,78.84023090644904,Richest
5,2025-04-01,77.00512106991873,Richest
5,2025-05-01,80.87302738042506,Richest
5,2025-06-01,76.77882107882199,Richest
5,2025-07-01,76.76097252228838,Richest
5,2025-08-01,80.49965506459345,Richest
5,2025-09-01,80.68830596428806,Richest
5,2025-10-01,80.01214756692212,Richest
