date,source_state,dest_state,weighted_count,n_households,percentage,indicator
2024-03-01,Not_worried,Not_worried,133403289.66314697,951,49.422945911455606,worried
2024-03-01,worried,worried,136518478.86547852,854,50.577054088544394,worried
2024-04-01,Not_worried,Not_worried,167770361.74316406,803,60.66630095793659,worried
2024-04-01,worried,worried,108775857.6472168,570,39.3336990420634,worried
2024-05-01,Not_worried,Not_worried,170354386.05151367,952,61.81803453346958,worried
2024-05-01,worried,worried,105219542.07019043,645,38.18196546653042,worried
2024-06-01,Not_worried,Not_worried,184514007.43896484,897,66.812331317155,worried
2024-06-01,worried,worried,91653585.88012695,474,33.18766868284499,worried
2024-07-01,Not_worried,Not_worried,194767871.10083008,1019,70.95793864043107,worried
2024-07-01,worried,worried,79715681.87805176,474,29.042061359568933,worried
2024-08-01,Not_worried,Not_worried,200100350.27294922,926,72.45300800921179,worried
2024-08-01,worried,worried,76079142.85107422,388,27.54699199078821,worried
2024-09-01,Not_worried,Not_worried,194308725.37304688,925,70.31157849832867,worried
2024-09-01,worried,worried,82045083.66235352,395,29.688421501671325,worried
2024-10-01,Not_worried,Not_worried,194339194.8178711,904,70.76271810589326,worried
2024-10-01,worried,worried,80295810.76098633,357,29.237281894106744,worried
2024-11-01,Not_worried,Not_worried,194881381.0859375,863,70.52714979164352,worried
2024-11-01,worried,worried,81439697.62158203,353,29.472850208356476,worried
2024-12-01,Not_worried,Not_worried,203669968.4638672,969,73.62863645860324,worried
2024-12-01,worried,worried,72947905.04296875,357,26.371363541396764,worried
2025-01-01,Not_worried,Not_worried,194161770.76538086,1018,70.23046972675165,worried
2025-01-01,worried,worried,82301951.49194336,402,29.769530273248346,worried
2025-02-01,Not_worried,Not_worried,197019139.60107422,949,71.20947042122793,worried
2025-02-01,worried,worried,79656334.09033203,354,28.790529578772063,worried
2025-03-01,Not_worried,Not_worried,199464672.70117188,816,72.22695124915212,worried
2025-03-01,worried,worried,76699098.92626953,293,27.773048750847888,worried
2025-04-01,Not_worried,Not_worried,196396254.30029297,858,71.01103705044342,worried
2025-04-01,worried,worried,80175194.953125,319,28.988962949556573,worried
2025-05-01,Not_worried,Not_worried,202717878.57373047,841,73.31047022010853,worried
2025-05-01,worried,worried,73801802.673828125,305,26.689529779891473,worried
2025-06-01,Not_worried,Not_worried,201376073.50927734,796,72.9258332496501,worried
2025-06-01,worried,worried,74762113.10546875,292,27.074166750349903,worried
2025-07-01,Not_worried,Not_worried,194645847.06054688,830,70.35652714778338,worried
2025-07-01,worried,worried,82010569.83691406,286,29.643472852216618,worried
