quint,date,mean_nom_save,mean_real_save,n_obs,quintile_label
3,2025-08-01,393393.3703247158,381195.14636266365,201,3
3,2025-09-01,429240.06332099595,415125.77087940986,189,3
3,2025-10-01,477931.1868532403,460878.7021253496,182,3
4,2024-03-01,622345.5037601625,616794.3889645189,344,4
4,2024-04-01,725638.8228249084,717034.4349072623,271,4
4,2024-05-01,735342.8659997912,726623.4107108582,327,4
4,2024-06-01,938862.7997315519,928647.641139548,246,4
4,2024-07-01,860878.0692699836,853199.3233664678,279,4
4,2024-08-01,866108.2238524797,858382.8267105267,241,4
4,2024-09-01,975210.6730371825,968431.680825593,223,4
4,2024-10-01,882344.9131840436,875342.1616989988,228,4
4,2024-11-01,714261.0548007824,706489.6424570744,230,4
4,2024-12-01,609206.3680491365,599612.547841283,255,4
4,2025-01-01,758060.444039452,752044.0792132588,224,4
4,2025-02-01,644538.5195334076,642610.6740288126,237,4
4,2025-03-01,519015.9033706809,508839.1304666834,219,4
4,2025-04-01,670164.4399084892,649384.1814037279,242,4
4,2025-05-01,561540.9399405427,546246.0520460751,245,4
4,2025-06-01,686368.9227936964,666377.6134552552,248,4
4,2025-07-01,573325.2552303834,555009.9317180766,246,4
4,2025-08-01,681218.971164448,660095.9370609407,209,4
4,2025-09-01,818235.8862302423,791330.6143991328,251,4
4,2025-10-01,790244.0073918198,762048.2665863676,202,4
5,2024-03-01,1854908.78990954,1838363.6207614967,402,Richest
5,2024-04-01,1948894.9736595452,1925785.6142418177,311,Richest
5,2024-05-01,2006730.72406699,1982935.5672299948,370,Richest
5,2024-06-01,2137279.32653691,2114024.9732041038,339,Richest
5,2024-07-01,1428540.998377664,1415798.888047686,333,Richest
5,2024-08-01,3042056.6436809176,3014922.5107243937,332,Richest
5,2024-09-01,1814720.5382586187,1802105.8522885053,330,Richest
5,2024-10-01,2157806.2367437687,2140680.7559901387,306,Richest
5,2024-11-01,1764240.2907610224,1745044.7337854134,294,Richest
5,2024-12-01,3258960.9790156884,3207638.656504173,304,Richest
5,2025-01-01,4130337.5222044433,4097556.9997747527,353,Richest
5,2025-02-01,2275368.4644247442,2268562.728642477,311,Richest
5,2025-03-01,2617879.1196041196,2566548.204467786,235,Richest
5,2025-04-01,3142377.725620077,3044939.8169973725,213,Richest
5,2025-05-01,1695986.1663058912,1649791.9951614628,255,Richest
5,2025-06-01,3236667.3756576753,3142395.5976333343,214,Richest
5,2025-07-01,1819240.1465162106,1761123.0977275062,267,Richest
5,2025-08-01,2972506.607263651,2880336.011470051,246,Richest
5,2025-09-01,4475653.414008414,4328484.762825782,232,Richest
5,2025-10-01,2762866.9743716647,2664288.458924976,263,Richest
