date,region,mean_kg,mean_price,product
2024-03-01,Java,NA,NA,rice
2024-03-01,Kalimantan,NA,NA,rice
2024-03-01,Maluku,NA,NA,rice
2024-03-01,Nusa Tenggara,NA,NA,rice
2024-03-01,Papua,NA,NA,rice
2024-03-01,Sulawesi,NA,NA,rice
2024-03-01,Sumatra,NA,NA,rice
2024-04-01,Java,6.732953223395672,170675.8876455936,rice
2024-04-01,Kalimantan,6.526037555728607,199197.91265412222,rice
2024-04-01,Maluku,6.932524422615088,184915.88948999616,rice
2024-04-01,Nusa Tenggara,10.322830951138044,235140.7222564654,rice
2024-04-01,Papua,6.30041555505637,160909.24896589504,rice
2024-04-01,Sulawesi,8.586679275694825,246960.93874529412,rice
2024-04-01,Sumatra,7.49354022089541,153082.5130250698,rice
2024-05-01,Java,5.732675531909714,129692.1268719011,rice
2024-05-01,Kalimantan,5.642662764200243,147117.2790787579,rice
2024-05-01,Maluku,7.072826145608988,130062.01644067884,rice
2024-05-01,Nusa Tenggara,8.39539256546832,159878.65556926685,rice
2024-05-01,Papua,8.005196779917707,227535.81421868174,rice
2024-05-01,Sulawesi,7.756776604539204,163473.39047614086,rice
2024-05-01,Sumatra,7.13274388017422,139359.6800528055,rice
2024-06-01,Java,5.863061052472167,124576.35746460981,rice
2024-06-01,Kalimantan,8.781790182703126,194077.47458422554,rice
2024-06-01,Maluku,7.332478079357361,162124.84702619648,rice
2024-06-01,Nusa Tenggara,10.814353097798394,213477.05908032515,rice
2024-06-01,Papua,11.402060532004098,236741.8775854492,rice
2024-06-01,Sulawesi,6.780466412907721,175818.17589760144,rice
2024-06-01,Sumatra,7.90943752850693,151836.42410970991,rice
2024-07-01,Java,5.162273585552788,127356.8767752109,rice
2024-07-01,Kalimantan,5.512358245013392,133381.26057664928,rice
2024-07-01,Maluku,7.750088710133559,188689.80752250724,rice
2024-07-01,Nusa Tenggara,7.6606994978708896,202571.54113318882,rice
2024-07-01,Papua,9.370309868952118,269839.3871854324,rice
2024-07-01,Sulawesi,7.147591242871474,196279.2686802327,rice
2024-07-01,Sumatra,7.6308402404305635,153278.99256235643,rice
2024-08-01,Java,6.249162113941758,138388.23766712993,rice
2024-08-01,Kalimantan,4.176994329656325,137743.98663017945,rice
2024-08-01,Maluku,8.172658412658285,251562.35203372195,rice
2024-08-01,Nusa Tenggara,9.055402226597291,210866.4582592626,rice
2024-08-01,Papua,11.84885245893508,209406.9351441069,rice
2024-08-01,Sulawesi,5.769329969193674,197028.38680939414,rice
2024-08-01,Sumatra,7.263959787423186,151418.33102592893,rice
2024-09-01,Java,5.779796641876391,127768.60937392515,rice
2024-09-01,Kalimantan,5.543934279706246,139952.52017447192,rice
2024-09-01,Maluku,4.839209826323985,197263.38069062264,rice
2024-09-01,Nusa Tenggara,10.631786222041766,251683.23070032944,rice
2024-09-01,Papua,9.183250000181319,236485.55977966086,rice
2024-09-01,Sulawesi,10.528783364172817,208522.7261924064,rice
2024-09-01,Sumatra,7.006781535958347,129641.64079140939,rice
2024-10-01,Java,5.570753755866785,141645.76387090705,rice
2024-10-01,Kalimantan,5.4630492553525585,192367.74852356286,rice
2024-10-01,Maluku,8.176028281552401,139154.5783086713,rice
2024-10-01,Nusa Tenggara,11.071214699332455,227636.68719133065,rice
2024-10-01,Papua,5.13973752223973,178366.7671618496,rice
2024-10-01,Sulawesi,8.745844374230941,160314.71239773056,rice
2024-10-01,Sumatra,7.21962742541076,142107.36614845184,rice
2024-11-01,Java,5.628440471977336,132574.4497436329,rice
2024-11-01,Kalimantan,5.439808090344372,159010.73928171952,rice
2024-11-01,Maluku,5.3955403310632875,178229.49270231934,rice
2024-11-01,Nusa Tenggara,7.564387626736184,192257.40713925974,rice
2024-11-01,Papua,8.856527886534495,172009.01541181546,rice
2024-11-01,Sulawesi,8.582356054339552,203207.15638036438,rice
2024-11-01,Sumatra,7.137865206440298,134350.2212918072,rice
2024-12-01,Java,6.283167181546614,138318.3550077444,rice
2024-12-01,Kalimantan,8.17427787047705,191156.49952258152,rice
2024-12-01,Maluku,7.541693243409556,185090.45364695153,rice
2024-12-01,Nusa Tenggara,7.695444755605646,228305.95437833533,rice
2024-12-01,Papua,10.621426126032942,315942.7074097932,rice
2024-12-01,Sulawesi,7.311028499780533,215051.90142819492,rice
2024-12-01,Sumatra,7.3564734037711865,146015.38359989028,rice
